Source:,C:\Utilitarios\cygwin64\home\Gon\Practicas-Curso-Kicad\Cuenca_Gonzalo\ejercicio_2\Ej2.sch
Date:,01/12/2015 05:01:04 p.m.
Tool:,Eeschema 4.0.0-rc1-stable
Generator:,C:/Utilitarios/cygwin64/home/Gon/Practicas-Curso-Kicad/Cuenca_Gonzalo/ejercicio_2/tools/bom_csv_grouped_by_value.py
Component Count:,13

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey/Mouser
,,C1,100nF,ej2:C,,,
,,C2,100nF,ej2:C,,,
,,C3,100nF,ej2:C,,,
,,C4,100nF,ej2:C,,,
,,C5,100nF,ej2:C,,,
,,C6,100nF,ej2:C,,,
,,J1,DB9,ej2:DB9,,,
,,J2,CAN,ej2:CONN_3,,,
,,R1,60,ej2:R,,,
,,R2,60,ej2:R,,,
,,U1,SP3232_V2,ej2:SP3232_V2,,,1016-1803-1-ND
,,U2,AMIS42665TJAA1RG,ej2:AMIS42665TJAA1RG,,,
,,XA1,Conn_Poncho2P_2x_20x2,ej2:Conn_Poncho2P_2x_20x2,,,952-1387-ND



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey/Mouser
1,6,"C1, C2, C3, C4, C5, C6",100nF,ej2:C,,,
2,1,J1,DB9,ej2:DB9,,,
3,1,J2,CAN,ej2:CONN_3,,,
4,2,"R1, R2",60,ej2:R,,,
5,1,U1,SP3232_V2,ej2:SP3232_V2,,,1016-1803-1-ND
6,1,U2,AMIS42665TJAA1RG,ej2:AMIS42665TJAA1RG,,,
7,1,XA1,Conn_Poncho2P_2x_20x2,ej2:Conn_Poncho2P_2x_20x2,,,952-1387-ND
